No,Work order,이관장소,이관일자,특기사항,Queue,Customer Name,Item Number,Description 1,Description 2,WO Status,WO Qty,WO Date,WO Request Date,경과일자(영업일기준)
6789,10121034.0,Inspection,2025-10-14 19:31:16,,True,(주)세라컴,C062S001,V1A-1,CX2303+SIC-REPORT,40.0,2.0,45919.0,45975.0,30
6801,10115917.0,Inspection,2025-10-15 04:03:53,,True,엠이엠씨코리아(주),M013S275,"FILLER, REFLECTOR TOP DET10253",CX2320+SIC-REPORT,40.0,3.0,45898.0,45985.0,29
10221,10118906.0,Inspection,2025-11-15 07:27:20,,True,0,S008S501-1,LINEX E11295300(U),CX2120/HELI Q310-214344,40.0,2.0,45911.0,45989.0,6
10222,10118905.0,Inspection,2025-11-15 07:27:23,,True,0,S008S500-1,LINEX E11295300(U),CX2120 Q310-214344,40.0,2.0,45911.0,45989.0,6
10283,10126289.0,Inspection,2025-11-17 16:00:43,,True,APPLIED MATERIALS,L280S046,"LINER, HOUSING (E17503490)",CX2160+ULTRASONIC-REPORT,40.0,20.0,45944.0,46028.0,6
10413,10122812.0,Inspection,2025-11-17 18:03:41,,True,주식회사　디비하이텍,D183S052-2,LINER 5-2 LINER 5-2 S-052 SET,2120,40.0,5.0,45926.0,46010.0,6
10414,10122811.0,Inspection,2025-11-17 18:03:41,,True,주식회사　디비하이텍,D183S052-1,LINER 5-1 LINER 5-1 S-052 SET,2120,40.0,5.0,45926.0,46010.0,6
10417,10121899.0,Inspection,2025-11-17 19:57:07,,True,0,S008S1051-5,GUIDE UNIT(4467300(U))-90DEG,CX2120,40.0,5.0,45924.0,46050.0,6
10418,10121898.0,Inspection,2025-11-17 19:57:26,,True,0,S008S1051-4,GUIDE UNIT(4467300(U))-90DEG,CX2120,40.0,5.0,45924.0,46050.0,6
10419,10121896.0,Inspection,2025-11-17 19:57:41,,True,0,S008S1051-2,GUIDE UNIT(4467300(U))-90DEG,CX2120,40.0,5.0,45924.0,46050.0,6
10420,10121895.0,Inspection,2025-11-17 19:57:56,,True,0,S008S1051-1,GUIDE UNIT(4467300(U))-90DEG,CX2120,40.0,5.0,45924.0,46050.0,6
10435,10121897.0,Inspection,2025-11-18 01:37:06,,True,0,S008S1051-3,GUIDE UNIT(4467300(U))-90DEG,CX2120,40.0,5.0,45924.0,46050.0,5
10457,10129169.0,Inspection,2025-11-18 13:40:49,,True,엠이엠씨코리아(주),M013S385,"PIN RETAINER, UPPER (DET12616R",CX2320+SIC,40.0,1.0,45958.0,46003.0,5
10470,10118318.0,Inspection,2025-11-18 14:00:08,,True,0,S008S294,APEX EXIT VG APEX 17231630,CX2120 Q310-015051,30.0,50.0,45909.0,45954.0,5
10472,10119880.0,Inspection,2025-11-18 14:00:08,,True,0,A045S1153,UPPER POLEPIECE AMU(170151125),CX2160-REPORT,30.0,2.0,45916.0,45985.0,5
10474,10124039.0,Inspection,2025-11-18 14:00:08,,True,0,A045S850,SHIELD TOP SLOTTED(17322680),CX2120+VCI(CL2)-REPORT,30.0,30.0,45932.0,45975.0,5
10478,10124093.0,Inspection,2025-11-18 14:00:08,,True,0,A045S430,APERTURE(1)(17270240),CX2160+VCI-REPORT,30.0,5.0,45932.0,45992.0,5
10479,10125762.0,Inspection,2025-11-18 14:00:08,,True,0,S008S626,LINEX E17319920 / HELI,CX2120 Q310-129183,30.0,40.0,45940.0,45979.0,5
10481,10129053.0,Inspection,2025-11-18 14:00:08,,True,0,A045S1153,UPPER POLEPIECE AMU(170151125),CX2160-REPORT,30.0,8.0,45958.0,45999.0,5
10482,10129069.0,Inspection,2025-11-18 14:00:08,,True,0,A045S407,SHIELD(17250360),CX2160+VCI-REPORT,30.0,13.0,45958.0,45986.0,5
10483,10129083.0,Inspection,2025-11-18 14:00:08,,True,0,A045S981,GROUND ELECTRODE(17335010),CX2120+VCI(CL2)-REPORT,30.0,5.0,45958.0,45992.0,5
10485,10130562.0,Inspection,2025-11-18 14:00:08,,True,0,S008S200,APERTURE PFG (R0)  E17116700,CX2120 Q310-037699,30.0,300.0,45964.0,46003.0,5
10486,10130563.0,Inspection,2025-11-18 14:00:08,,True,0,S008S200,APERTURE PFG (R0)  E17116700,CX2120 Q310-037699,30.0,460.0,45964.0,46038.0,5
10504,10127769.0,Inspection,2025-11-18 15:42:05,,True,（주）에스이티,S402S053,GRAPHITE(E17535420),CX2120,40.0,40.0,45951.0,46052.0,5
10505,10127774.0,Inspection,2025-11-18 15:42:05,,True,（주）에스이티,S402S053,GRAPHITE(E17535420),CX2120,40.0,40.0,45951.0,46059.0,5
10506,10127779.0,Inspection,2025-11-18 15:42:05,,True,（주）에스이티,S402S053,GRAPHITE(E17535420),CX2120,40.0,40.0,45951.0,46066.0,5
10507,10127785.0,Inspection,2025-11-18 15:42:05,,True,（주）에스이티,S402S053,GRAPHITE(E17535420),CX2120,40.0,40.0,45951.0,46073.0,5
10508,10127790.0,Inspection,2025-11-18 15:42:05,,True,（주）에스이티,S402S053,GRAPHITE(E17535420),CX2120,40.0,40.0,45951.0,46080.0,5
10509,10127796.0,Inspection,2025-11-18 15:42:05,,True,（주）에스이티,S402S053,GRAPHITE(E17535420),CX2120,40.0,40.0,45951.0,46087.0,5
10563,10129168.0,Inspection,2025-11-19 10:00:56,,True,엠이엠씨코리아(주),M013S384,"REFLECTOR, BOTTOM (DET12614R0)",2303-PS-Y-R-721X0X147,40.0,1.0,45958.0,46003.0,4
10611,10130617.0,Inspection,2025-11-20 07:59:12,,True,0,S008S863-4,LINER S-863SET E11295300,CX2120 Q310-155392,40.0,40.0,45964.0,45996.0,3
10612,10130616.0,Inspection,2025-11-20 07:59:20,,True,0,S008S863-3,LINER S-863SET E11295300,CX2120 Q310-155392,40.0,40.0,45964.0,45996.0,3
12125,10119915.0,Inspection,2025-11-20 12:12:31,,True,0,A045S957,TOP/BTM SCANNER(170163204),CX2160+VCI-REPORT,30.0,40.0,45916.0,45985.0,3
12126,10119981.0,Inspection,2025-11-20 12:12:31,,True,0,A045S593,LINER FLAG CUP(170021180),CX2120+VCI(CL2)-REPORT,30.0,23.0,45916.0,45975.0,3
12127,10124018.0,Inspection,2025-11-20 12:12:31,,True,0,A045S171,ANALYZER MAGNET(170160061),CX2160+VCI,30.0,5.0,45932.0,46003.0,3
12128,10124027.0,Inspection,2025-11-20 12:12:31,,True,0,A045S375,SOURCE(170164872),CX2160+VCI-REPORT,30.0,11.0,45932.0,45992.0,3
12129,10124029.0,Inspection,2025-11-20 12:12:31,,True,0,A045S403,ELECTD(170162619),CX2120+VCI(CL2)-REPORT,30.0,36.0,45932.0,46003.0,3
12130,10124034.0,Inspection,2025-11-20 12:12:31,,True,0,A045S563,APERTURE LENGTH(17208240),CX2160+VCI-REPORT,30.0,162.0,45932.0,46006.0,3
12131,10124041.0,Inspection,2025-11-20 12:12:31,,True,0,A045S981,GROUND ELECTRODE(17335010),CX2120+VCI(CL2)-REPORT,30.0,50.0,45932.0,45996.0,3
12132,10124059.0,Inspection,2025-11-20 12:12:31,,True,0,A045S569,"SHIELD, ELECT. SUP(17122880)",CX2160+VCI-REPORT,30.0,42.0,45932.0,46006.0,3
12133,10124080.0,Inspection,2025-11-20 12:12:31,,True,0,A045S275,SHIELD(170167415),CX2160+VCI-REPORT,30.0,5.0,45932.0,45967.0,3
12134,10124089.0,Inspection,2025-11-20 12:12:31,,True,0,A045S384,PLATE(170160817),CX2160+VCI-REPORT,30.0,5.0,45932.0,46003.0,3
12135,10124092.0,Inspection,2025-11-20 12:12:31,,True,0,A045S423,LINER(3)(17270170),CX2160+VCI-REPORT,30.0,5.0,45932.0,45985.0,3
12136,10124096.0,Inspection,2025-11-20 12:12:31,,True,0,A045S480,VGI COVER BOTTOM(170172431),CX2160+VCI,30.0,5.0,45932.0,45996.0,3
12137,10124100.0,Inspection,2025-11-20 12:12:31,,True,0,A045S637,ELECTRODE HE SPEC(17125561),CX2160+VCI-REPORT,30.0,31.0,45932.0,45971.0,3
12138,10124107.0,Inspection,2025-11-20 12:12:31,,True,0,A045S773,CL1TXT BLOCKER(170173493),CX2160+VCI-REPORT,30.0,5.0,45932.0,46001.0,3
12139,10124108.0,Inspection,2025-11-20 12:12:31,,True,0,A045S790,BEAM GUIDE EXIT(170170496),CX2160+VCI-REPORT,30.0,2.0,45932.0,45996.0,3
12140,10124123.0,Inspection,2025-11-20 12:12:31,,True,0,A045S1251,LINER EXIT PMP (APA170174327),CX2160-REPORT,30.0,17.0,45932.0,45964.0,3
12141,10123647.0,Inspection,2025-11-20 12:12:31,,True,한국오웬스코닝주식회사,H013S002,"ROLLOER 20""(1-OLD) D80X 600.1",2124-SUS304,40.0,20.0,45931.0,45989.0,3
