No,Issue 일자,구분,집계여부,집계분류(대),발생처/검사처,제품군,이전공정(발생처),생의번호(SO),생의번호(WO),생의건수(건),JDE 등록여부,고객사,품명,Item Code 또는 규격,긴급검사 여부,수량_생의,수량_검사의뢰,저항1,저항2,두께1,두께2,두께3,두께4,두께5,두께6,두께7,두께8,명도1,특기사항,검사시간(분),검사자/담당자,POP등록여부,검사장비,초도품(FA),판정,부적합 수준,NCR No,귀책구분,귀책처_발생,귀책담당자_발생,귀책처_유출,귀책담당자_유출,치수,특성,조립,누락,형상,외관,기타,불량현상(세부내용),대책서 접수일자,시정(구분),시정(세부내용),시정(일자),원인(구분),원인(세부내용),대책(세부내용),대책(적용일자),유효성(확인일자),유효성(확인한 생의번호),유효성(확인자),유효성(판정),F-Cost_재료,F-Cost_가공/공구,F-Cost_인건,F-Cost_운송,F-Cost_출장,F-Cost_기타,F-Cost_합계,수량_검사(치수),수량_검사(외관),수량_불량(치수),수량_불량(외관),수량_불량(합계),일정_적용월,일정_주차,F-Cost_구분,부적합 종결,발생~대책접수(일),발생~시정(일),발생~대책적용(일),발생~유효성확인(일),대책서 접수,검사수 확인,집계_현상,비고,WO 실시간 등록 여부
1,2024-12-26 00:00:00,검사,YES,출하,출하(치수),GS,MCT,67086-100,113120,1,O,주식회사　누리라인,COVER,S109S056-1,Y,2,2,,,,,,,,,,,,,30,최인규,YES,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2,2,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
2,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,SIC,70447-10,118288,1,O,주식회사와이에스씨엔씨,V1A-1,C062S001,,2,2,,,90.6,93.4,93.7,92,93.7,86.7,94.9,91.2,,,10,"김세미, 안지유",NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
3,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,SIC,70291-10,117899,1,O,"GLOBALWAFERS CO.,LTD.TAISIL BRANCH",REFLECTOR,M013S303,,1,1,,,90.6,93.4,93.7,92,93.7,86.7,94.9,91.2,,,10,"김세미, 안지유",NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
4,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,SIC,70291-30,117901,1,O,"GLOBALWAFERS CO.,LTD.TAISIL BRANCH",REFLECTOR,M013S303,,1,1,,,90.6,93.4,93.7,92,93.7,86.7,94.9,91.2,,,10,"김세미, 안지유",NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
5,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,SIC,70447-20,118289,1,O,주식회사와이에스씨엔씨,V1B-2,C062S002,,1,1,,,90.6,93.4,93.7,92,93.7,86.7,94.9,91.2,,,10,"김세미, 안지유",NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
6,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,SIC,69921-40,117346,1,O,엠이엠씨코리아(주),REFLECTOR,M013S303,,1,1,,,90.6,93.4,93.7,92,93.7,86.7,94.9,91.2,,,10,"김세미, 안지유",NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
7,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,SIC,70291-20,117900,1,O,"GLOBALWAFERS CO.,LTD.TAISIL BRANCH",REFLECTOR,M013S303,,1,1,,,90.6,93.4,93.7,92,93.7,86.7,94.9,91.2,,,10,"김세미, 안지유",NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,1,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
8,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,고순도,70033-20,117752,1,O,주식회사에스케이실트론,GFA,S109S107,,6000,6000,,,,,,,,,,,,,30,김덕경,NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,6000,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
9,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,고순도,70034-20,117753,1,O,주식회사에스케이실트론,INNER,S109S107,,5000,5000,,,,,,,,,,,,,30,김덕경,NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,5000,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
10,2024-12-26 00:00:00,검사,YES,출하,출하(외관),GS,고순도,67086-100,113120,1,O,주식회사에스케이실트론,800MM,S109S056-1,,2,2,,,,,,,,,,,,,30,김덕경,NO,,,합격,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,2,0,0,0,2025-01-01 00:00:00,52,내적실패,,,,,,접수,True,,,O
